user_id,product_id,estimated_rating,ProductType,URL
AKMEY1BSHSDG7,B002Y26V00,5,Face Wash & Cleansers,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1Mjc0OTIwODQyNjQyMTE1OjE2ODAwNjg0NDk6c3BfbXRmX2Jyb3dzZToyMDExOTEyOTUxMjk5ODo6MDo6&url=%2FRania-Youth-Lifting-Cleanser-Vitamin%2Fdp%2FB09XMKNX3P%2Fref%3Dsr_1_24_sspa%3Fpf_rd_i%3D1355016031%26pf_rd_m%3DA1VBAL9TL5WCBF%26pf_rd_p%3D1f9b873b-851b-4ef7-9137-1a1dc23c575a%26pf_rd_r%3D76BM2ADV9TQD1B275FZF%26pf_rd_s%3Dmerchandised-search-11%26qid%3D1680068449%26refinements%3Dp_72%253A1318477031%26s%3Dbeauty%26sr%3D1-24-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGZfYnJvd3Nl%26psc%3D1
AKMEY1BSHSDG7,B00FDK0V4M,5,Lipstick,https://www.amazon.in/Just-Herbs-Ayurvedic-Lipstick-Micro-Mini/dp/B08QZKCWG6/ref=sr_1_2?pf_rd_i=1355016031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=777489a8-ff36-4ced-b8a2-fe296c0f72d2&pf_rd_r=HAW9B7AZ6E1XMSTNXY9X&pf_rd_s=merchandised-search-13&qid=1680065931&refinements=p_85%3A10440599031%2Cp_28%3A-spons&rps=1&s=beauty&sr=1-2
AKMEY1BSHSDG7,B002MZ8BK2,5,Face Wash & Cleansers,https://www.amazon.in/Cetaphil-Gentle-Skin-Cleanser-125ml/dp/B01CCGW4OE/ref=sr_1_6?pf_rd_i=1355016031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=1f9b873b-851b-4ef7-9137-1a1dc23c575a&pf_rd_r=76BM2ADV9TQD1B275FZF&pf_rd_s=merchandised-search-11&qid=1680068499&refinements=p_72%3A1318477031&s=beauty&sr=1-6
AKMEY1BSHSDG7,B003V264WW,5,Shampoo,https://www.amazon.in/Matrix-Straight-Professional-Smoothing-Shampoo/dp/B00JFWWJVW/ref=sr_1_55?pf_rd_i=1355016031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=2e794e71-efe9-4d32-b22b-7f41306c4eea&pf_rd_r=1VX6276QKTXNWTBWDSY6&pf_rd_s=merchandised-search-12&qid=1680066693&refinements=p_72%3A1318477031&rnid=27076118031&s=beauty&sr=1-55
AKMEY1BSHSDG7,B00008J2XQ,5,Nail Polish,https://www.amazon.in/RENEE-Bubbles-Nail-Alcohol-free-Soap-washable/dp/B0BCF3H8B2/ref=sr_1_33?crid=STMTCEXUXU5N&keywords=nail+paint&pf_rd_i=1355016031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=777489a8-ff36-4ced-b8a2-fe296c0f72d2&pf_rd_r=2FW5DJ3SEEMC9S9WS77E&pf_rd_s=merchandised-search-11&qid=1680071852&s=beauty&sprefix=nail+paint%2Cbeauty%2C200&sr=1-33
AKMEY1BSHSDG7,B0045OR410,5,Sunscreen,https://www.amazon.in/Dr-Sheths-Sunscreen-Sensitive-Protection/dp/B09WJG7QTR/ref=sr_1_9?pf_rd_i=1355016031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=1f9b873b-851b-4ef7-9137-1a1dc23c575a&pf_rd_r=YPJA5KBNPTYX5JHWP33H&pf_rd_s=merchandised-search-11&qid=1680072883&refinements=p_85%3A10440599031&rps=1&s=beauty&sr=1-9
AKMEY1BSHSDG7,B00021C5Y6,5,Nail Polish,https://www.amazon.in/Elitty-Over-Nails-Nail-Paint/dp/B09Y9CTT6V/ref=sr_1_39?crid=STMTCEXUXU5N&keywords=nail+paint&pf_rd_i=1355016031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=777489a8-ff36-4ced-b8a2-fe296c0f72d2&pf_rd_r=2FW5DJ3SEEMC9S9WS77E&pf_rd_s=merchandised-search-11&qid=1680071809&s=beauty&sprefix=nail+paint%2Cbeauty%2C200&sr=1-39
AKMEY1BSHSDG7,B001RTSUF0,5,Shower Gel,https://www.amazon.in/Fiama-Blackcurrant-Lemongrass-Celebration-moisturized/dp/B08PXHBCSK/ref=sr_1_31?crid=3NKGP4OZB9248&keywords=body+wash&pf_rd_i=1374276031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=218f8944-f0f6-41af-ad51-958d2a04fb2f&pf_rd_r=Q92BV6MWDP2BAZXH1E9P&pf_rd_s=merchandised-search-4&qid=1680067980&s=beauty&sprefix=body+%2Cbeauty%2C193&sr=1-31
AKMEY1BSHSDG7,B000GCKD2C,5,Nail Polish,https://www.amazon.in/Gloss-Wine-Nail-Polish-Glitter-Silver/dp/B09XMWYCGL/ref=sr_1_35?crid=STMTCEXUXU5N&keywords=nail+paint&pf_rd_i=1355016031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=777489a8-ff36-4ced-b8a2-fe296c0f72d2&pf_rd_r=2FW5DJ3SEEMC9S9WS77E&pf_rd_s=merchandised-search-11&qid=1680071628&s=beauty&sprefix=nail+paint%2Cbeauty%2C200&sr=1-35
AKMEY1BSHSDG7,B000TZJVBK,5,Nail Polish,https://www.amazon.in/MyGlamm-2IN1-Nail-Paint-Poolside-Soiree-2X5ml/dp/B09CVBVY85/ref=sxin_16_sbv_search_btf?content-id=amzn1.sym.dd2aa9b8-d653-4b22-af5d-81cb48e44028%3Aamzn1.sym.dd2aa9b8-d653-4b22-af5d-81cb48e44028&crid=STMTCEXUXU5N&cv_ct_cx=nail+paint&keywords=nail+paint&pd_rd_i=B09CVBVY85&pd_rd_r=5c9022c1-c834-4b44-aa1d-eb783b5d726b&pd_rd_w=JmMRR&pd_rd_wg=xxiAI&pf_rd_i=1355016031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=dd2aa9b8-d653-4b22-af5d-81cb48e44028&pf_rd_r=QFS44KNQSSFJ4BTQV7RV&pf_rd_s=merchandised-search-11&qid=1680071461&s=beauty&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=nail+paint%2Cbeauty%2C200&sr=1-1-9131241a-a358-4619-a7b8-0f5a65d91d81
