UserId,ProductId,ProductType,Rating,Timestamp,URL
A26JSNKN8Q1CE7,B001E96PM8,Shower Gel,5,1377820800,https://www.amazon.in/Saturn-GHC-Salicylic-Exfoliating-Prevents/dp/B0BLV8HPKH/ref=sr_1_50?crid=3NKGP4OZB9248&keywords=body+wash&pf_rd_i=1374276031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=218f8944-f0f6-41af-ad51-958d2a04fb2f&pf_rd_r=Q92BV6MWDP2BAZXH1E9P&pf_rd_s=merchandised-search-4&qid=1680068063&s=beauty&sprefix=body+%2Cbeauty%2C193&sr=1-50
A25P61VQ6VK4JG,B004VCH51A,Sunscreen,5,1358985600,https://www.amazon.in/Lacto-Calamine-Sunshield-Sunscreen-Sulphate/dp/B085CZ1KZR/ref=sr_1_25?pf_rd_i=1355016031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=1f9b873b-851b-4ef7-9137-1a1dc23c575a&pf_rd_r=YPJA5KBNPTYX5JHWP33H&pf_rd_s=merchandised-search-11&qid=1680072759&refinements=p_85%3A10440599031&rps=1&s=beauty&sr=1-25
A1E110L9ZKX6FD,B003156NFW,Shampoo,5,1269907200,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2Nzk5MjkwOTA3OTMyMTQzOjE2ODAwNjY4MTY6c3BfbXRmX2Jyb3dzZToyMDEyNDYxNTk0MjY5ODo6MDo6&url=%2FTresemme-keratin-Shampoo-Mask-Serum%2Fdp%2FB0B6HNSJC2%2Fref%3Dsr_1_23_sspa%3Fpf_rd_i%3D1355016031%26pf_rd_m%3DA1VBAL9TL5WCBF%26pf_rd_p%3D2e794e71-efe9-4d32-b22b-7f41306c4eea%26pf_rd_r%3D1VX6276QKTXNWTBWDSY6%26pf_rd_s%3Dmerchandised-search-12%26qid%3D1680066816%26refinements%3Dp_72%253A1318477031%26rnid%3D27076118031%26s%3Dbeauty%26sr%3D1-23-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGZfYnJvd3Nl%26psc%3D1
APCSV85SWASN2,B00AO4E9E0,Cream & Moisturizer,5,1364601600,https://www.amazon.in/UrbanBotanics-Pure-Aloe-Vera-Paraben/dp/B07GPT37YB/ref=sr_1_17?pf_rd_i=1355016031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=1f9b873b-851b-4ef7-9137-1a1dc23c575a&pf_rd_r=J3D55DSHBXE7WA6366Z9&pf_rd_s=merchandised-search-11&qid=1680067131&refinements=p_85%3A10440599031&rps=1&s=beauty&sr=1-17
A2GCTJGDROSQU6,B000G8LWZI,Nail Polish,5,1299974400,https://www.amazon.in/Insight-Toxic-Lasting-Pastel-Polish/dp/B08WWGW8WP/ref=sr_1_52?crid=STMTCEXUXU5N&keywords=nail+paint&pf_rd_i=1355016031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=777489a8-ff36-4ced-b8a2-fe296c0f72d2&pf_rd_r=2FW5DJ3SEEMC9S9WS77E&pf_rd_s=merchandised-search-11&qid=1680071628&s=beauty&sprefix=nail+paint%2Cbeauty%2C200&sr=1-52
A2UYCNWGCHEBRJ,B005593XAA,Hair Color & Heena,5,1392940800,https://www.amazon.in/Revlon-Speed-Color-Woman-Brownish/dp/B00DQO9IXM/ref=sr_1_50_mod_primary_new?pf_rd_i=1355016031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=2e794e71-efe9-4d32-b22b-7f41306c4eea&pf_rd_r=1VX6276QKTXNWTBWDSY6&pf_rd_s=merchandised-search-12&qid=1680067608&refinements=p_72%3A1318477031&rnid=9851597031&s=beauty&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-50
A3DI4C1N839WN,B000YOFQII,Nail Polish,2,1313884800,https://www.amazon.in/SUGAR-POP-Nail-Lacquer-Chip-resistant/dp/B09WZXSDMR/ref=sr_1_17?crid=STMTCEXUXU5N&keywords=nail+paint&pf_rd_i=1355016031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=777489a8-ff36-4ced-b8a2-fe296c0f72d2&pf_rd_r=2FW5DJ3SEEMC9S9WS77E&pf_rd_s=merchandised-search-11&qid=1680071386&s=beauty&sprefix=nail+paint%2Cbeauty%2C200&sr=1-17
AVXIYQWPPXYF7,B004VMGT2Q,Sunscreen,5,1350086400,https://www.amazon.in/Mamaearths-Natural-Sunscreen-Lotion-Turmeric/dp/B07RGWRRMN/ref=sr_1_19?pf_rd_i=1355016031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=1f9b873b-851b-4ef7-9137-1a1dc23c575a&pf_rd_r=YPJA5KBNPTYX5JHWP33H&pf_rd_s=merchandised-search-11&qid=1680072759&refinements=p_85%3A10440599031&rps=1&s=beauty&sr=1-19
A2QYPEC9H2H6W6,B004UVRYQS,Sunscreen,5,1396051200,https://www.amazon.in/RE-EQUIL-Oxybenzone-Sunscreen-Sensitive/dp/B07GKXDP8P/ref=sr_1_42?pf_rd_i=1355016031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=1f9b873b-851b-4ef7-9137-1a1dc23c575a&pf_rd_r=YPJA5KBNPTYX5JHWP33H&pf_rd_s=merchandised-search-11&qid=1680072759&refinements=p_85%3A10440599031&rps=1&s=beauty&sr=1-42
A2TPH171QFO6ZH,B00120XR0M,Shower Gel,5,1320364800,https://www.amazon.in/Vivel-Body-Wash-Mint-Cucumber/dp/B07LB3SJ4P/ref=sr_1_29?crid=3NKGP4OZB9248&keywords=body+wash&pf_rd_i=1374276031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=218f8944-f0f6-41af-ad51-958d2a04fb2f&pf_rd_r=Q92BV6MWDP2BAZXH1E9P&pf_rd_s=merchandised-search-4&qid=1680068194&s=beauty&sprefix=body+%2Cbeauty%2C193&sr=1-29
A27A64XRTQKJW2,B007BJ3KQ4,Body Lotion,5,1374105600,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4NzE3NTA5MjA0Mjk0MzQ2OjE2ODAwNjk5NDU6c3BfbXRmX2Jyb3dzZToyMDAzMzQwODkwMzIwODo6MDo6&url=%2FForest-Essentials-Ultra-Lotion-Soundarya%2Fdp%2FB0861CX85S%2Fref%3Dsr_1_22_sspa%3Fpf_rd_i%3D1355016031%26pf_rd_m%3DA1VBAL9TL5WCBF%26pf_rd_p%3D1f9b873b-851b-4ef7-9137-1a1dc23c575a%26pf_rd_r%3D2FW5DJ3SEEMC9S9WS77E%26pf_rd_s%3Dmerchandised-search-11%26qid%3D1680069945%26refinements%3Dp_85%253A10440599031%26rps%3D1%26s%3Dbeauty%26sr%3D1-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGZfYnJvd3Nl%26psc%3D1
A35MYSEMH47M3V,B00847TAUC,Conditioner,5,1399161600,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyMTQ4NTU1MDQzMDk2NzEwOjE2ODAwNjk0OTM6c3BfbXRmX2Jyb3dzZToyMDA1NzA4NDYyNzcwNzo6MDo6&url=%2FMoroccanoil-Hydrating-Conditioner-8-5-Fl-Oz%2Fdp%2FB0098QQ88U%2Fref%3Dsr_1_22_sspa%3Fpf_rd_i%3D1355016031%26pf_rd_m%3DA1VBAL9TL5WCBF%26pf_rd_p%3D2e794e71-efe9-4d32-b22b-7f41306c4eea%26pf_rd_r%3D1VX6276QKTXNWTBWDSY6%26pf_rd_s%3Dmerchandised-search-12%26qid%3D1680069493%26refinements%3Dp_72%253A1318477031%26rnid%3D27076118031%26s%3Dbeauty%26sr%3D1-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGZfYnJvd3Nl%26psc%3D1
